#Bulk Export - Points as recorded,,
,A4260554,
2019-02-15 00:00:00,3.310,20
2019-02-15 08:00:00,3.310,20
2019-02-18 00:00:00,3.330,20
2019-02-18 08:00:00,3.330,20
2019-02-19 00:00:00,3.340,20
2019-02-19 08:00:00,3.340,20
2019-02-20 00:00:00,3.330,20
2019-02-20 08:00:00,3.330,20
2019-02-21 00:00:00,3.310,20
2019-02-21 08:00:00,3.310,20
2019-02-22 00:00:00,3.310,20
2019-02-22 08:00:00,3.310,20
2019-02-25 00:00:00,3.290,20
2019-02-25 08:00:00,3.290,20
2019-02-26 00:00:00,3.290,20
2019-02-26 08:00:00,3.290,20
2019-02-27 00:00:00,3.300,20
2019-02-27 08:00:00,3.300,20
2019-02-28 00:00:00,3.300,20
2019-02-28 08:00:00,3.300,20
2019-03-01 00:00:00,3.300,20
2019-03-01 08:00:00,3.300,20
2019-03-04 00:00:00,3.300,20
2019-03-04 08:00:00,3.300,20
2019-03-05 00:00:00,3.310,20
2019-03-05 08:00:00,3.310,20
2019-03-06 00:00:00,3.310,20
2019-03-06 08:00:00,3.310,20
2019-03-07 00:00:00,3.310,20
2019-03-07 08:00:00,3.310,20
2019-03-08 00:00:00,3.300,20
2019-03-08 08:00:00,3.300,20
2019-03-13 00:00:00,3.330,20
2019-03-13 08:00:00,3.330,20
2019-03-14 00:00:00,3.330,20
2019-03-14 08:00:00,3.330,20
2019-03-15 00:00:00,3.330,20
2019-03-15 08:00:00,3.330,20
2019-03-18 00:00:00,3.320,20
2019-03-18 08:00:00,3.320,20
2019-03-19 00:00:00,3.320,20
2019-03-19 08:00:00,3.320,20
2019-03-20 00:00:00,3.320,20
2019-03-20 08:00:00,3.320,20
2019-03-21 00:00:00,3.330,20
2019-03-21 08:00:00,3.330,20
2019-03-22 00:00:00,3.330,20
2019-03-22 08:00:00,3.330,20
2019-03-25 00:00:00,3.310,20
2019-03-25 08:00:00,3.310,20
2019-03-26 00:00:00,3.320,20
2019-03-26 08:00:00,3.320,20
2019-03-27 00:00:00,3.330,20
2019-03-27 08:00:00,3.330,20
2019-03-28 00:00:00,3.330,20
2019-03-28 08:00:00,3.330,20
2019-03-29 00:00:00,3.330,20
2019-03-29 08:00:00,3.330,20
2019-04-01 00:00:00,3.330,20
2019-04-01 08:00:00,3.330,20
2019-04-02 00:00:00,3.330,20
2019-04-02 08:00:00,3.330,20
2019-04-03 00:00:00,3.330,20
2019-04-03 08:00:00,3.330,20
2019-04-04 00:00:00,3.340,20
2019-04-04 08:00:00,3.340,20
2019-04-05 00:00:00,3.340,20
2019-04-05 08:00:00,3.340,20
2019-04-08 00:00:00,3.340,20
2019-04-08 08:00:00,3.340,20
2019-04-09 00:00:00,3.340,20
2019-04-09 08:00:00,3.340,20
2019-04-10 00:00:00,3.350,20
2019-04-10 08:00:00,3.350,20
2019-04-11 00:00:00,3.340,20
2019-04-11 08:00:00,3.340,20
2019-04-12 00:00:00,3.340,20
2019-04-12 08:00:00,3.340,20
2019-04-15 00:00:00,3.320,20
2019-04-15 08:00:00,3.320,20
2019-04-16 00:00:00,3.320,20
2019-04-16 08:00:00,3.320,20
2019-04-17 00:00:00,3.310,20
2019-04-17 08:00:00,3.310,20
2019-04-18 00:00:00,3.270,20
2019-04-18 08:00:00,3.270,20
2019-04-19 00:00:00,3.280,20
2019-04-19 08:00:00,3.280,20
2019-04-23 00:00:00,3.310,20
2019-04-23 08:00:00,3.310,20
2019-04-24 00:00:00,3.310,20
2019-04-24 08:00:00,3.310,20
2019-04-26 00:00:00,3.300,20
2019-04-26 08:00:00,3.300,20
2019-04-30 00:00:00,3.290,20
2019-04-30 08:00:00,3.290,20
2019-05-01 00:00:00,3.280,20
2019-05-01 08:00:00,3.280,20
2019-05-02 00:00:00,3.280,20
2019-05-02 08:00:00,3.280,20
2019-05-03 00:00:00,3.280,20
2019-05-03 08:00:00,3.280,20
2019-05-06 00:00:00,3.310,20
2019-05-06 08:00:00,3.310,20
2019-05-07 00:00:00,3.300,20
2019-05-07 08:00:00,3.300,20
2019-05-08 00:00:00,3.290,20
2019-05-08 08:00:00,3.290,20
2019-05-09 00:00:00,3.280,20
2019-05-09 08:00:00,3.280,20
2019-05-10 00:00:00,3.300,20
2019-05-10 08:00:00,3.300,20
2019-05-13 00:00:00,3.310,20
2019-05-13 08:00:00,3.310,20
2019-05-14 00:00:00,3.310,20
2019-05-14 08:00:00,3.310,20
2019-05-15 00:00:00,3.320,20
2019-05-15 08:00:00,3.320,20
2019-05-16 00:00:00,3.330,20
2019-05-16 08:00:00,3.330,20
2019-05-17 00:00:00,3.320,20
2019-05-17 08:00:00,3.320,20
2019-05-20 00:00:00,3.300,20
2019-05-20 08:00:00,3.300,20
2019-05-21 00:00:00,3.290,20
2019-05-21 08:00:00,3.290,20
2019-05-22 00:00:00,3.290,20
2019-05-22 08:00:00,3.290,20
2019-05-23 00:00:00,3.290,20
2019-05-23 08:00:00,3.290,20
2019-05-24 00:00:00,3.280,20
2019-05-24 08:00:00,3.280,20
2019-05-27 00:00:00,3.270,20
2019-05-27 08:00:00,3.270,20
2019-05-28 00:00:00,3.280,20
2019-05-28 08:00:00,3.280,20
2019-05-29 00:00:00,3.280,20
2019-05-29 08:00:00,3.280,20
2019-05-30 00:00:00,3.290,20
2019-05-30 08:00:00,3.290,20
2019-05-31 00:00:00,3.240,20
2019-05-31 08:00:00,3.240,20
2019-06-03 00:00:00,3.310,20
2019-06-03 08:00:00,3.310,20
2019-06-04 00:00:00,3.320,20
2019-06-04 08:00:00,3.320,20
2019-06-05 00:00:00,3.330,20
2019-06-05 08:00:00,3.330,20
2019-06-06 00:00:00,3.320,20
2019-06-06 08:00:00,3.320,20
2019-06-07 00:00:00,3.320,20
2019-06-07 08:00:00,3.320,20
2019-06-11 00:00:00,3.300,20
2019-06-11 08:00:00,3.300,20
2019-06-12 00:00:00,3.310,20
2019-06-12 08:00:00,3.310,20
2019-06-13 00:00:00,3.330,20
2019-06-13 08:00:00,3.330,20
2019-06-14 00:00:00,3.330,20
2019-06-14 08:00:00,3.330,20
2019-06-17 00:00:00,3.320,20
2019-06-17 08:00:00,3.320,20
2019-06-18 00:00:00,3.310,20
2019-06-18 08:00:00,3.310,20
2019-06-19 00:00:00,3.320,20
2019-06-19 08:00:00,3.320,20
2019-06-20 00:00:00,3.310,20
2019-06-20 08:00:00,3.310,20
2019-06-21 00:00:00,3.310,20
2019-06-21 08:00:00,3.310,20
2019-06-24 00:00:00,3.300,20
2019-06-24 08:00:00,3.300,20
2019-06-25 00:00:00,3.300,20
2019-06-25 08:00:00,3.300,20
2019-06-26 00:00:00,3.300,20
2019-06-26 08:00:00,3.300,20
2019-06-27 00:00:00,3.290,20
2019-06-27 08:00:00,3.290,20
2019-06-28 00:00:00,3.290,20
2019-06-28 08:00:00,3.290,20
2019-07-01 00:00:00,3.280,20
2019-07-01 08:00:00,3.280,20
2019-07-02 00:00:00,3.280,20
2019-07-02 08:00:00,3.280,20
2019-07-03 00:00:00,3.280,20
2019-07-03 08:00:00,3.280,20
2019-07-04 00:00:00,3.280,20
2019-07-04 08:00:00,3.280,20
2019-07-05 00:00:00,3.280,20
2019-07-05 08:00:00,3.280,20
2019-07-08 00:00:00,3.290,20
2019-07-08 08:00:00,3.290,20
2019-07-09 00:00:00,3.290,20
2019-07-09 08:00:00,3.290,20
2019-07-10 00:00:00,3.290,20
2019-07-10 08:00:00,3.290,20
2019-07-11 00:00:00,3.270,20
2019-07-11 08:00:00,3.270,20
2019-07-12 00:00:00,3.260,20
2019-07-12 08:00:00,3.260,20
2019-07-15 00:00:00,3.290,20
2019-07-15 08:00:00,3.290,20
2019-07-16 00:00:00,3.300,20
2019-07-16 08:00:00,3.300,20
2019-07-17 00:00:00,3.310,20
2019-07-17 08:00:00,3.310,20
2019-07-18 00:00:00,3.300,20
2019-07-18 08:00:00,3.300,20
2019-07-19 00:00:00,3.300,20
2019-07-19 08:00:00,3.300,20
2019-07-22 00:00:00,3.290,20
2019-07-22 08:00:00,3.290,20
2019-07-23 00:00:00,3.280,20
2019-07-23 08:00:00,3.280,20
2019-07-24 00:00:00,3.280,20
2019-07-24 08:00:00,3.280,20
2019-07-25 00:00:00,3.310,20
2019-07-25 08:00:00,3.310,20
2019-07-26 00:00:00,3.320,20
2019-07-26 08:00:00,3.320,20
2019-07-30 00:00:00,3.360,20
2019-07-30 08:00:00,3.360,20
2019-07-31 00:00:00,3.380,20
2019-07-31 08:00:00,3.380,20
2019-08-01 00:00:00,3.390,20
2019-08-01 08:00:00,3.390,20
2019-08-02 00:00:00,3.390,20
2019-08-02 08:00:00,3.390,20
2019-08-05 00:00:00,3.370,20
2019-08-05 08:00:00,3.370,20
2019-08-06 00:00:00,3.360,20
2019-08-06 08:00:00,3.360,20
2019-08-07 00:00:00,3.340,20
2019-08-07 08:00:00,3.340,20
2019-08-08 00:00:00,3.320,20
2019-08-08 08:00:00,3.320,20
2019-08-09 00:00:00,3.320,20
2019-08-09 08:00:00,3.320,20
2019-08-12 00:00:00,3.330,20
2019-08-12 08:00:00,3.330,20
2019-08-13 00:00:00,3.320,20
2019-08-13 08:00:00,3.320,20
2019-08-14 00:00:00,3.290,20
2019-08-14 08:00:00,3.290,20
2019-08-15 00:00:00,3.270,20
2019-08-15 08:00:00,3.270,20
2019-08-16 00:00:00,3.260,20
2019-08-16 08:00:00,3.260,20
2019-08-19 00:00:00,3.290,20
2019-08-19 08:00:00,3.290,20
2019-08-20 00:00:00,3.310,20
2019-08-20 08:00:00,3.310,20
2019-08-21 00:00:00,3.310,20
2019-08-21 08:00:00,3.310,20
2019-08-22 00:00:00,3.300,20
2019-08-22 08:00:00,3.300,20
2019-08-23 00:00:00,3.290,20
2019-08-23 08:00:00,3.290,20
2019-08-26 00:00:00,3.270,20
2019-08-26 08:00:00,3.270,20
2019-08-27 00:00:00,3.260,20
2019-08-27 08:00:00,3.260,20
2019-08-28 00:00:00,3.260,20
2019-08-28 08:00:00,3.260,20
2019-08-29 00:00:00,3.260,20
2019-08-29 08:00:00,3.260,20
2019-08-30 00:00:00,3.280,20
2019-08-30 08:00:00,3.280,20
2019-09-02 00:00:00,3.290,20
2019-09-02 08:00:00,3.290,20
2019-09-03 00:00:00,3.290,20
2019-09-03 08:00:00,3.290,20
2019-09-04 00:00:00,3.290,20
2019-09-04 08:00:00,3.290,20
2019-09-05 00:00:00,3.290,20
2019-09-05 08:00:00,3.290,20
2019-09-06 00:00:00,3.260,20
2019-09-06 08:00:00,3.260,20
2019-09-09 00:00:00,3.280,20
2019-09-09 08:00:00,3.280,20
2019-09-10 00:00:00,3.280,20
2019-09-10 08:00:00,3.280,20
2019-09-11 00:00:00,3.280,20
2019-09-11 08:00:00,3.280,20
2019-09-12 00:00:00,3.280,20
2019-09-12 08:00:00,3.280,20
2019-09-13 00:00:00,3.290,20
2019-09-13 08:00:00,3.290,20
2019-09-16 00:00:00,3.290,20
2019-09-16 08:00:00,3.290,20
2019-09-17 00:00:00,3.300,20
2019-09-17 08:00:00,3.300,20
2019-09-18 00:00:00,3.300,20
2019-09-18 08:00:00,3.300,20
2019-09-19 00:00:00,3.300,20
2019-09-19 08:00:00,3.300,20
2019-09-20 00:00:00,3.300,20
2019-09-20 08:00:00,3.300,20
2019-09-23 00:00:00,3.310,20
2019-09-23 08:00:00,3.310,20
2019-09-24 00:00:00,3.310,20
2019-09-24 08:00:00,3.310,20
2019-09-25 00:00:00,3.320,20
2019-09-25 08:00:00,3.320,20
2019-09-26 00:00:00,3.310,20
2019-09-26 08:00:00,3.310,20
2019-09-27 00:00:00,3.310,20
2019-09-27 08:00:00,3.310,20
2019-09-30 00:00:00,3.330,20
2019-09-30 08:00:00,3.330,20
2019-10-01 00:00:00,3.330,20
2019-10-01 08:00:00,3.330,20
2019-10-02 00:00:00,3.330,20
2019-10-02 08:00:00,3.330,20
2019-10-03 00:00:00,3.350,20
2019-10-03 08:00:00,3.350,20
2019-10-04 00:00:00,3.370,20
2019-10-04 08:00:00,3.370,20
2019-10-08 00:00:00,3.380,20
2019-10-08 08:00:00,3.380,20
2019-10-09 00:00:00,3.390,20
2019-10-09 08:00:00,3.390,20
2019-10-10 00:00:00,3.390,20
2019-10-10 08:00:00,3.390,20
2019-10-11 00:00:00,3.400,20
2019-10-11 08:00:00,3.400,20
2019-10-14 00:00:00,3.400,20
2019-10-14 08:00:00,3.400,20
2019-10-15 00:00:00,3.410,20
2019-10-15 08:00:00,3.410,20
2019-10-16 00:00:00,3.420,20
2019-10-16 08:00:00,3.420,20
2019-10-17 00:00:00,3.410,20
2019-10-17 08:00:00,3.410,20
2019-10-18 00:00:00,3.420,20
2019-10-18 08:00:00,3.420,20
2019-10-21 00:00:00,3.420,20
2019-10-21 08:00:00,3.420,20
2019-10-22 00:00:00,3.420,20
2019-10-22 08:00:00,3.420,20
2019-10-23 00:00:00,3.420,20
2019-10-23 08:00:00,3.420,20
2019-10-24 00:00:00,3.400,20
2019-10-24 08:00:00,3.400,20
2019-10-25 00:00:00,3.380,20
2019-10-25 08:00:00,3.380,20
2019-10-26 00:00:00,3.370,20
2019-10-26 08:00:00,3.370,20
2019-10-27 00:00:00,3.370,20
2019-10-27 08:00:00,3.370,20
2019-10-28 00:00:00,3.370,20
2019-10-28 08:00:00,3.370,20
2019-10-29 00:00:00,3.360,20
2019-10-29 08:00:00,3.360,20
2019-10-30 00:00:00,3.350,20
2019-10-30 08:00:00,3.350,20
2019-10-31 00:00:00,3.330,20
2019-10-31 08:00:00,3.330,20
2019-11-01 00:00:00,3.320,20
2019-11-01 08:00:00,3.320,20
2019-11-04 00:00:00,3.340,20
2019-11-04 08:00:00,3.340,20
2019-11-05 00:00:00,3.340,20
2019-11-05 08:00:00,3.340,20
2019-11-06 00:00:00,3.320,20
2019-11-06 08:00:00,3.320,20
2019-11-07 00:00:00,3.290,20
2019-11-07 08:00:00,3.290,20
2019-11-08 00:00:00,3.270,20
2019-11-08 08:00:00,3.270,20
2019-11-11 00:00:00,3.280,20
2019-11-11 08:00:00,3.280,20
2019-11-12 00:00:00,3.270,20
2019-11-12 08:00:00,3.270,20
2019-11-13 00:00:00,3.280,20
2019-11-13 08:00:00,3.280,20
2019-11-14 00:00:00,3.280,20
2019-11-14 08:00:00,3.280,20
2019-11-15 00:00:00,3.270,20
2019-11-15 08:00:00,3.270,20
2019-11-18 00:00:00,3.260,20
2019-11-18 08:00:00,3.260,20
2019-11-19 00:00:00,3.270,20
2019-11-19 08:00:00,3.270,20
2019-11-20 00:00:00,3.290,20
2019-11-20 08:00:00,3.290,20
2019-11-21 00:00:00,3.280,20
2019-11-21 08:00:00,3.280,20
2019-11-22 00:00:00,3.300,20
2019-11-22 08:00:00,3.300,20
2019-11-25 00:00:00,3.290,20
2019-11-25 08:00:00,3.290,20
2019-11-26 00:00:00,3.300,20
2019-11-26 08:00:00,3.300,20
2019-11-27 00:00:00,3.290,20
2019-11-27 08:00:00,3.290,20
2019-11-28 00:00:00,3.290,20
2019-11-28 08:00:00,3.290,20
2019-11-29 00:00:00,3.290,20
2019-11-29 08:00:00,3.290,20
2019-12-02 00:00:00,3.290,20
2019-12-02 08:00:00,3.290,20
2019-12-03 00:00:00,3.290,20
2019-12-03 08:00:00,3.290,20
2019-12-04 00:00:00,3.290,20
2019-12-04 08:00:00,3.290,20
2019-12-05 00:00:00,3.290,20
2019-12-05 08:00:00,3.290,20
2019-12-06 00:00:00,3.310,20
2019-12-06 08:00:00,3.310,20
2019-12-09 00:00:00,3.300,20
2019-12-09 08:00:00,3.300,20
2019-12-10 00:00:00,3.320,20
2019-12-10 08:00:00,3.320,20
2019-12-11 00:00:00,3.320,20
2019-12-11 08:00:00,3.320,20
2019-12-12 00:00:00,3.320,20
2019-12-12 08:00:00,3.320,20
2019-12-13 00:00:00,3.300,20
2019-12-13 08:00:00,3.300,20
2019-12-16 00:00:00,3.290,20
2019-12-16 08:00:00,3.290,20
2019-12-17 00:00:00,3.290,20
2019-12-17 08:00:00,3.290,20
2019-12-18 00:00:00,3.280,20
2019-12-18 08:00:00,3.280,20
2019-12-19 00:00:00,3.280,20
2019-12-19 08:00:00,3.280,20
2019-12-20 00:00:00,3.270,20
2019-12-20 08:00:00,3.270,20
2019-12-23 00:00:00,3.270,20
2019-12-23 08:00:00,3.270,20
2019-12-24 00:00:00,3.270,20
2019-12-24 08:00:00,3.270,20
2019-12-25 00:00:00,3.270,20
2019-12-25 08:00:00,3.270,20
2019-12-26 00:00:00,3.270,20
2019-12-26 08:00:00,3.270,20
2019-12-27 00:00:00,3.270,20
2019-12-27 08:00:00,3.270,20
2019-12-28 00:00:00,3.270,20
2019-12-28 08:00:00,3.270,20
2019-12-29 00:00:00,3.270,20
2019-12-29 08:00:00,3.270,20
2019-12-30 00:00:00,3.270,20
2019-12-30 08:00:00,3.270,20
2019-12-31 00:00:00,3.270,20
2019-12-31 08:00:00,3.270,20
2020-01-01 00:00:00,3.270,20
2020-01-01 08:00:00,3.270,20
2020-01-02 00:00:00,3.280,20
2020-01-02 08:00:00,3.280,20
2020-01-03 00:00:00,3.280,20
2020-01-03 08:00:00,3.280,20
2020-01-06 00:00:00,3.320,20
2020-01-06 08:00:00,3.320,20
2020-01-07 00:00:00,3.320,20
2020-01-07 08:00:00,3.320,20
2020-01-08 00:00:00,3.330,20
2020-01-08 08:00:00,3.330,20
2020-01-09 00:00:00,3.310,20
2020-01-09 08:00:00,3.310,20
2020-01-10 00:00:00,3.300,20
2020-01-10 08:00:00,3.300,20
2020-01-13 00:00:00,3.290,20
2020-01-13 08:00:00,3.290,20
2020-01-14 00:00:00,3.270,20
2020-01-14 08:00:00,3.270,20
2020-01-15 00:00:00,3.290,20
2020-01-15 08:00:00,3.290,20
2020-01-16 00:00:00,3.290,20
2020-01-16 08:00:00,3.290,20
2020-01-17 00:00:00,3.300,20
2020-01-17 08:00:00,3.300,20
2020-01-20 00:00:00,3.280,20
2020-01-20 08:00:00,3.280,20
2020-01-21 00:00:00,3.300,20
2020-01-21 08:00:00,3.300,20
2020-01-22 00:00:00,3.300,20
2020-01-22 08:00:00,3.300,20
2020-01-23 00:00:00,3.300,20
2020-01-23 08:00:00,3.300,20
2020-01-24 00:00:00,3.310,20
2020-01-24 08:00:00,3.310,20
2020-01-28 00:00:00,3.320,20
2020-01-28 08:00:00,3.320,20
2020-01-29 00:00:00,3.320,20
2020-01-29 08:00:00,3.320,20
2020-01-30 00:00:00,3.300,20
2020-01-30 08:00:00,3.300,20
2020-01-31 00:00:00,3.300,20
2020-01-31 08:00:00,3.300,20
2020-02-03 00:00:00,3.350,20
2020-02-03 08:00:00,3.350,20
2020-02-04 00:00:00,3.370,20
2020-02-04 08:00:00,3.370,20
2020-02-05 00:00:00,3.370,20
2020-02-05 08:00:00,3.370,20
2020-02-06 00:00:00,3.370,20
2020-02-06 08:00:00,3.370,20
2020-02-07 00:00:00,3.360,20
2020-02-07 08:00:00,3.360,20
2020-02-10 00:00:00,3.340,20
2020-02-10 08:00:00,3.340,20
2020-02-11 00:00:00,3.340,20
2020-02-11 08:00:00,3.340,20
2020-02-12 00:00:00,3.350,20
2020-02-12 08:00:00,3.350,20
2020-02-13 00:00:00,3.340,20
2020-02-13 08:00:00,3.340,20
2020-02-14 00:00:00,3.340,20
2020-02-14 08:00:00,3.340,20
2020-02-17 00:00:00,3.330,20
2020-02-17 08:00:00,3.330,20
2020-02-18 00:00:00,3.330,20
2020-02-18 08:00:00,3.330,20
2020-02-19 00:00:00,3.340,20
2020-02-19 08:00:00,3.340,20
2020-02-20 00:00:00,3.340,20
2020-02-20 08:00:00,3.340,20
2020-02-21 00:00:00,3.350,20
2020-02-21 08:00:00,3.350,20
2020-02-24 00:00:00,3.340,20
2020-02-24 08:00:00,3.340,20
2020-02-25 00:00:00,3.330,20
2020-02-25 08:00:00,3.330,20
2020-02-26 00:00:00,3.330,20
2020-02-26 08:00:00,3.330,20
2020-02-27 00:00:00,3.330,20
2020-02-27 08:00:00,3.330,20
2020-02-28 00:00:00,3.330,20
2020-02-28 08:00:00,3.330,20
2020-03-02 00:00:00,3.350,20
2020-03-02 08:00:00,3.350,20
2020-03-03 00:00:00,3.360,20
2020-03-03 08:00:00,3.360,20
2020-03-04 00:00:00,3.340,20
2020-03-04 08:00:00,3.340,20
2020-03-05 00:00:00,3.340,20
2020-03-05 08:00:00,3.340,20
2020-03-06 00:00:00,3.340,20
2020-03-06 08:00:00,3.340,20
2020-03-10 00:00:00,3.370,20
2020-03-10 08:00:00,3.370,20
2020-03-11 00:00:00,3.360,20
2020-03-11 08:00:00,3.360,20
2020-03-12 00:00:00,3.360,20
2020-03-12 08:00:00,3.360,20
2020-03-13 00:00:00,3.360,20
2020-03-13 08:00:00,3.360,20
2020-03-16 00:00:00,3.350,20
2020-03-16 08:00:00,3.350,20
2020-03-17 00:00:00,3.330,20
2020-03-17 08:00:00,3.330,20
2020-03-18 00:00:00,3.330,20
2020-03-18 08:00:00,3.330,20
2020-03-19 00:00:00,3.320,20
2020-03-19 08:00:00,3.320,20
2020-03-20 00:00:00,3.320,20
2020-03-20 08:00:00,3.320,20
2020-03-21 00:00:00,3.320,20
2020-03-21 08:00:00,3.320,20
2020-03-22 00:00:00,3.320,20
2020-03-22 08:00:00,3.320,20
2020-03-23 00:00:00,3.330,20
2020-03-23 08:00:00,3.330,20
2020-03-24 00:00:00,3.330,20
2020-03-24 08:00:00,3.330,20
2020-03-25 00:00:00,3.340,20
2020-03-25 08:00:00,3.340,20
2020-03-26 00:00:00,3.340,20
2020-03-26 08:00:00,3.340,20
2020-03-27 00:00:00,3.340,20
2020-03-27 08:00:00,3.340,20
2020-03-30 00:00:00,3.340,20
2020-03-30 08:00:00,3.340,20
2020-03-31 00:00:00,3.350,20
2020-03-31 08:00:00,3.350,20
2020-04-01 00:00:00,3.350,20
2020-04-01 08:00:00,3.350,20
2020-04-02 00:00:00,3.350,20
2020-04-02 08:00:00,3.350,20
2020-04-03 00:00:00,3.350,20
2020-04-03 08:00:00,3.350,20
2020-04-06 00:00:00,3.350,20
2020-04-06 08:00:00,3.350,20
2020-04-07 00:00:00,3.350,20
2020-04-07 08:00:00,3.350,20
2020-04-08 00:00:00,3.360,20
2020-04-08 08:00:00,3.360,20
2020-04-09 00:00:00,3.370,20
2020-04-09 08:00:00,3.370,20
2020-04-10 00:00:00,3.360,20
2020-04-10 08:00:00,3.360,20
2020-04-14 00:00:00,3.340,20
2020-04-14 08:00:00,3.340,20
2020-04-15 00:00:00,3.340,20
2020-04-15 08:00:00,3.340,20
2020-04-16 00:00:00,3.340,20
2020-04-16 08:00:00,3.340,20
2020-04-17 00:00:00,3.340,20
2020-04-17 08:00:00,3.340,20
2020-04-20 00:00:00,3.330,20
2020-04-20 08:00:00,3.330,20
2020-04-21 00:00:00,3.330,20
2020-04-21 08:00:00,3.330,20
2020-04-22 00:00:00,3.330,20
2020-04-22 08:00:00,3.330,20
2020-04-23 00:00:00,3.330,20
2020-04-23 08:00:00,3.330,20
2020-04-24 00:00:00,3.340,20
2020-04-24 08:00:00,3.340,20
2020-04-26 00:00:00,3.370,20
2020-04-26 08:00:00,3.370,20
2020-04-27 00:00:00,3.380,20
2020-04-27 08:00:00,3.380,20
2020-04-28 00:00:00,3.390,20
2020-04-28 08:00:00,3.390,20
2020-04-29 00:00:00,3.390,20
2020-04-29 08:00:00,3.390,20
2020-04-30 00:00:00,3.400,20
2020-04-30 08:00:00,3.400,20
2020-05-01 00:00:00,3.400,20
2020-05-01 08:00:00,3.400,20
2020-05-04 00:00:00,3.410,20
2020-05-04 08:00:00,3.410,20
2020-05-05 00:00:00,3.410,20
2020-05-05 08:00:00,3.410,20
2020-05-06 00:00:00,3.840,20
2020-05-06 08:00:00,3.840,20
2020-05-07 00:00:00,3.370,20
2020-05-07 08:00:00,3.370,20
2020-05-08 00:00:00,3.360,20
2020-05-08 08:00:00,3.360,20
2020-05-11 00:00:00,3.350,20
2020-05-11 08:00:00,3.350,20
2020-05-12 00:00:00,3.370,20
2020-05-12 08:00:00,3.370,20
2020-05-13 00:00:00,3.370,20
2020-05-13 08:00:00,3.370,20
2020-05-14 00:00:00,3.380,20
2020-05-14 08:00:00,3.380,20
2020-05-15 00:00:00,3.380,20
2020-05-15 08:00:00,3.380,20
2020-05-18 00:00:00,3.390,20
2020-05-18 08:00:00,3.390,20
2020-05-19 00:00:00,3.380,20
2020-05-19 08:00:00,3.380,20
2020-05-20 00:00:00,3.370,20
2020-05-20 08:00:00,3.370,20
2020-05-21 00:00:00,3.380,20
2020-05-21 08:00:00,3.380,20
2020-05-22 00:00:00,3.390,20
2020-05-22 08:00:00,3.390,20
2020-05-25 00:00:00,3.410,20
2020-05-25 08:00:00,3.410,20
2020-05-26 00:00:00,3.400,20
2020-05-26 08:00:00,3.400,20
2020-05-27 00:00:00,3.410,20
2020-05-27 08:00:00,3.410,20
2020-05-28 00:00:00,3.420,20
2020-05-28 08:00:00,3.420,20
2020-05-29 00:00:00,3.420,20
2020-05-29 08:00:00,3.420,20
2020-05-30 00:00:00,3.420,20
2020-05-30 08:00:00,3.420,20
2020-05-31 00:00:00,3.400,20
2020-05-31 08:00:00,3.400,20
2020-06-01 00:00:00,3.400,20
2020-06-01 08:00:00,3.400,20
2020-06-02 00:00:00,3.400,20
2020-06-02 08:00:00,3.400,20
2020-06-03 00:00:00,3.400,20
2020-06-03 08:00:00,3.400,20
2020-06-04 00:00:00,3.400,20
2020-06-04 08:00:00,3.400,20
2020-06-05 00:00:00,3.400,20
2020-06-05 08:00:00,3.400,20
2020-06-09 00:00:00,3.380,20
2020-06-09 08:00:00,3.380,20
2020-06-10 00:00:00,3.380,20
2020-06-10 08:00:00,3.380,20
2020-06-11 00:00:00,3.380,20
2020-06-11 08:00:00,3.380,20
2020-06-12 00:00:00,3.380,20
2020-06-12 08:00:00,3.380,20
2020-06-15 00:00:00,3.380,20
2020-06-15 08:00:00,3.380,20
2020-06-16 00:00:00,3.390,20
2020-06-16 08:00:00,3.390,20
2020-06-17 00:00:00,3.390,20
2020-06-17 08:00:00,3.390,20
2020-06-18 00:00:00,3.390,20
2020-06-18 08:00:00,3.390,20
2020-06-19 00:00:00,3.390,20
2020-06-19 08:00:00,3.390,20
2020-06-22 00:00:00,3.390,20
2020-06-22 08:00:00,3.390,20
2020-06-23 00:00:00,3.400,20
2020-06-23 08:00:00,3.400,20
2020-06-24 00:00:00,3.400,20
2020-06-24 08:00:00,3.400,20
2020-06-25 00:00:00,3.390,20
2020-06-25 08:00:00,3.390,20
2020-06-26 00:00:00,3.390,20
2020-06-26 08:00:00,3.390,20
2020-06-27 00:00:00,3.400,20
2020-06-27 08:00:00,3.400,20
2020-06-28 00:00:00,3.390,20
2020-06-28 08:00:00,3.390,20
2020-06-29 00:00:00,3.390,20
2020-06-29 08:00:00,3.390,20
2020-06-30 00:00:00,3.380,20
2020-06-30 08:00:00,3.380,20
2020-07-01 00:00:00,3.380,20
2020-07-01 08:00:00,3.380,20
2020-07-02 00:00:00,3.380,20
2020-07-02 08:00:00,3.380,20
2020-07-03 00:00:00,3.380,20
2020-07-03 08:00:00,3.380,20
2020-07-04 00:00:00,3.400,20
2020-07-04 08:00:00,3.400,20
2020-07-05 00:00:00,3.410,20
2020-07-05 08:00:00,3.410,20
2020-07-06 00:00:00,3.420,20
2020-07-06 08:00:00,3.420,20
2020-07-07 00:00:00,3.430,20
2020-07-07 08:00:00,3.430,20
2020-07-08 00:00:00,3.430,20
2020-07-08 08:00:00,3.430,20
2020-07-09 00:00:00,3.440,20
2020-07-09 08:00:00,3.440,20
2020-07-10 00:00:00,3.440,20
2020-07-10 08:00:00,3.440,20
2020-07-11 00:00:00,3.440,20
